Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Company,State,ZIP code,Tags,Consumer consent provided?,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID
07/30/2013,Credit card,,APR or interest rate,,,,Amex,MA,02215,,N/A,Referral,08/02/2013,Closed with explanation,Yes,No,470132
07/30/2013,Debt collection,I do not know,Disclosure verification of debt,Not given enough info to verify debt,,,"Convergent Resources, Inc.",NV,89074,,N/A,Referral,08/01/2013,Closed,Yes,No,469810
07/30/2013,Credit card,,Billing disputes,,,,Amex,NY,12060,,N/A,Referral,08/02/2013,Closed with explanation,Yes,Yes,470151
07/30/2013,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,,,Bank of America,TX,78239,,N/A,Fax,07/31/2013,Closed with explanation,Yes,Yes,475278
07/31/2013,Credit card,,Transaction issue,,,,Discover,OR,97086,,N/A,Referral,08/02/2013,Closed with non-monetary relief,Yes,No,471053
07/31/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,Nationstar Mortgage,GA,30121,,N/A,Referral,09/19/2013,Closed with explanation,Yes,No,535169
07/30/2013,Mortgage,Conventional adjustable mortgage (ARM),"Loan servicing, payments, escrow account",,,,Ocwen,VA,20878,,N/A,Web,07/31/2013,Closed with explanation,Yes,No,474284
07/31/2013,Credit reporting,,Incorrect information on credit report,Account status,,,Equifax,MI,48439,,N/A,Postal mail,08/26/2013,Closed with explanation,Yes,No,471000
07/30/2013,Student loan,Non-federal student loan,Repaying your loan,Repaying your loan,,,"Navient Solutions, Inc.",MD,21078,,N/A,Web,07/31/2013,Closed with explanation,Yes,No,479648
07/31/2013,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,Provident Funding,CT,06106,,N/A,Web,08/05/2013,Closed with explanation,Yes,No,474893
07/31/2013,Mortgage,Home equity loan or line of credit,"Application, originator, mortgage broker",,,,Bank of America,NY,11581,,N/A,Web,08/05/2013,Closed with explanation,Yes,Yes,471014
